PO Number,CASE PACK ID, FOB 
2666831,71695945*2A    ,4.69
2666831,71695952*2A    ,4.69
2666839,71695891*2A    ,4.69
2666839,71695907*2A    ,4.69
2666839,71695914*2A    ,4.69
2666839,71695921*2A    ,4.69
2666839,71695938*2A    ,4.69
2666839,71695945*2A    ,4.69
2666839,71695952*2A    ,4.69
2666845,71695891*2A    ,4.69
2666845,71695907*2A    ,4.69
2666845,71695914*2A    ,4.69
2666845,71695921*2A    ,4.69
2666845,71695938*2A    ,4.69
2666845,71695945*2A    ,4.69
2666845,71695952*2A    ,4.69
2666812,71698908*2A    ,4.72
2666812,71698915*2A    ,4.72
2666812,71698922*2A    ,4.72
2666812,71698939*2A    ,4.72
2666812,71698946*2A    ,4.72
2666812,71698953*2A    ,4.72
2666813,71699189*2A    ,4.72
2666813,71699196*2A    ,4.72
2666813,71699202*2A    ,4.72
2666813,71699219*2A    ,4.72
2666813,71699226*2A    ,4.72
2666813,71699233*2A    ,4.72
2666814,71699110*2A    ,4.72
2666814,71699127*2A    ,4.72
2666814,71699134*2A    ,4.72
2666814,71699141*2A    ,4.72
2666814,71699158*2A    ,4.72
2666814,71699165*2A    ,4.72
2666814,71699172*2A    ,4.72
2666815,71699042*2A    ,4.72
2666815,71699059*2A    ,4.72
2666815,71699066*2A    ,4.72
2666815,71699073*2A    ,4.72
2666815,71699080*2A    ,4.72
2666815,71699097*2A    ,4.72
2666816,71698977*2A    ,4.72
2666816,71698984*2A    ,4.72
2666816,71698991*2A    ,4.72
2666816,71699004*2A    ,4.72
2666816,71699011*2A    ,4.72
2666816,71699028*2A    ,4.72
2666829,71698977*2A    ,4.72
2666829,71698984*2A    ,4.72
2666829,71698991*2A    ,4.72
2666829,71699004*2A    ,4.72
2666829,71699011*2A    ,4.72
2666829,71699028*2A    ,4.72
2666830,71699110*2A    ,4.72
2666830,71699127*2A    ,4.72
2666830,71699134*2A    ,4.72
2666830,71699141*2A    ,4.72
2666830,71699158*2A    ,4.72
2666830,71699165*2A    ,4.72
2666830,71699172*2A    ,4.72
2666838,71699110*2A    ,4.72
2666838,71699127*2A    ,4.72
2666838,71699134*2A    ,4.72
2666838,71699141*2A    ,4.72
2666838,71699158*2A    ,4.72
2666838,71699165*2A    ,4.72
2666838,71699172*2A    ,4.72
2666844,71699110*2A    ,4.72
2666844,71699127*2A    ,4.72
2666844,71699134*2A    ,4.72
2666844,71699141*2A    ,4.72
2666844,71699158*2A    ,4.72
2666844,71699165*2A    ,4.72
2666844,71699172*2A    ,4.72
2666806,71700397*2A    ,4.608
2666806,71700403*2A    ,4.608
2666806,71700410*2A    ,4.608
2666806,71700427*2A    ,4.608
2666806,71700434*2A    ,4.608
2666807,71700243*2A    ,4.608
2666807,71700250*2A    ,4.608
2666807,71700267*2A    ,4.608
2666807,71700274*2A    ,4.608
2666807,71700281*2A    ,4.608
2666807,71700298*2A    ,4.608
2666808,71700328*2A    ,4.608
2666808,71700335*2A    ,4.608
2666808,71700342*2A    ,4.608
2666808,71700359*2A    ,4.608
2666808,71700366*2A    ,4.608
2666824,71700243*2A    ,4.608
2666824,71700250*2A    ,4.608
2666824,71700267*2A    ,4.608
2666824,71700274*2A    ,4.608
2666824,71700281*2A    ,4.608
2666824,71700298*2A    ,4.608
2666825,71700328*2A    ,4.608
2666825,71700335*2A    ,4.608
2666825,71700342*2A    ,4.608
2666825,71700359*2A    ,4.608
2666825,71700366*2A    ,4.608
2666835,71700328*2A    ,4.608
2666835,71700335*2A    ,4.608
2666835,71700342*2A    ,4.608
2666835,71700359*2A    ,4.608
2666835,71700366*2A    ,4.608
2666836,71700243*2A    ,4.608
2666836,71700250*2A    ,4.608
2666836,71700267*2A    ,4.608
2666836,71700274*2A    ,4.608
2666836,71700281*2A    ,4.608
2666836,71700298*2A    ,4.608
2666841,71700243*2A    ,4.608
2666841,71700250*2A    ,4.608
